firstname,lastname,years,birthday,team,skills,manager,email
Christy,Rodmann,44,1991-06-21,Developers,"js,react",FALSE,Christy.Rodmann@mailmail.com
Linet,Valerio,11,1988-10-27,Recruitment,react,FALSE,Linet.Valerio@mailmail.com
Binny,Francene,74,1958-01-07,Developers,"ts,react",TRUE,Binny.Francene@mailmail.com
Gui,Morehouse,98,2008-09-25,developer,"ts,javascript,js",NO,Gui.Morehouse@mailmail.com
Gusella,Oneida,28,1948-10-12,,"ts,react",TRUE,Gusella.Oneida@mailmail.com
Elsie,Lilybelle,28,2020-05-15,Recruitment,"java,typescript,typescript",FALSE,Elsie.Lilybelle@mailmail.com
Janis,Genna,80,2015-10-09,worker,"python,py,react",FALSE,Janis.Genna@mailmail.com
Maisey,Lea,36,2004-07-25,HR,"react,react,typescript",TRUE,Maisey.Lea@mailmail.com
Emelina,Cosenza,96,1954-09-22,,"react,python",TRUE,Emelina.Cosenza@mailmail.com
Paola,Eugenia,7,1945-08-20,HR,py,TRUE,Paola.Eugenia@mailmail.com
Evita,Hathaway,I love pizza,1962-01-19,terminated,"python,java,typescript",Yes,Evita.Hathaway@mailmail.com
Ethel,Agle,39,1950-09-22,HR,"javascript,javascript,py",FALSE,Ethel.Agle@mailmail.com
Katharina,Yoko,3,1954-12-19,Recruitment,"ts,ts",TRUE,Katharina.Yoko@mailmail.com
Kerrin,Drus,41,2025-07-07,Developers,"typescript,javascript",FALSE,Kerrin.Drus@mailmail.com
Marita,Sibyls,19,2010-04-12,developer,"ts,java",TRUE,Marita.Sibyls@mailmail.com
Maryellen,Faust,54,1992-05-11,Developers,"python,js",TRUE,Maryellen.Faust@mailmail.com
Bernie,Clara,64,1976-05-15,Developers,"java,js",TRUE,Bernie.Clara@mailmail.com
Jinny,Keelia,87,2024-01-21,Recruitment,"js,typescript,py",FALSE,Jinny.Keelia@mailmail.com
Tamqrah,Bach,97,2025-03-04,worker,py,FALSE,Tamqrah.Bach@mailmail.com
Netty,Hermes,73,1976-08-15,HR,py,TRUE,Netty.Hermes@mailmail.com
Joleen,O'Carroll,6,1967-12-19,HR,"typescript,react",FALSE,Joleen.O'Carroll@mailmail.com
Phedra,Tengdin,92,2025-12-03,HR,py,TRUE,Phedra.Tengdin@mailmail.com
Susette,Cookie,2,2007-05-30,developer,react,TRUE,Susette.Cookie@mailmail.com
Paule,Garlinda,1,1978-03-04,worker,"py,java",FALSE,Paule.Garlinda@mailmail.com
Lynnea,Lubin,79,1957-10-20,Recruitment,"ts,python",TRUE,Lynnea.Lubin@mailmail.com
Florencia,McNully,23,1953-10-04,Developers,ts,TRUE,Florencia.McNully@mailmail.com
Jacquetta,Drisko,6,1941-07-24,Developers,"typescript,javascript,ts",TRUE,Jacquetta.Drisko@mailmail.com
